prompt,completion
"Escolhi este modelo após pesquisa e comparação com a LG smart tbm. Fato q me fez comprar a Samsung foi o de vir com o módulo WiFi integrado, ao contrário da LG q precisa adquirir separadamente. O design da LG até me agradou mais, mas esta Samsung não tive q ficar procurando módulo WiFi. Imagem agradou, som não achei tão bom, mas pelo q li, se deve ao fato de ela ser fina e não teve possibilidade de o corpo da TV formar uma boa CX acústica. A entrega foi dentro do prazo, bem rápida.","módulo wifi
imagem
som
entrega"
O produto foi entregue antes do prazo estabelecido. E satisfez minhas expectativas.,""
"Pesquisei muito antes de comprar, verifiquei que fiz uma boa compra. Boa imagem, som um pouco baixo, porém é de qualidade. Necessário aumentar bastante para assistir Netflix, Youtube ou jogos de Video Game. Sem problemas com o conectividade wi-fi, não testei a TV pois não tenho antena. E meu intuito era utilizar para video game e Netflix, por enquanto tudo bem. Muito leve, achei que a caixa estava vazia...complicado para instalar os suportes, mas ocorreu tudo bem.","imagem
som
som
wi-fi
suportes"
"Muito bom o produto, esta tv está entre as das ultimas gerações, muinto simples, mas está nas ultimas gerações de tv. Fácil de usar, muito boa a tv","produto
tv
tv"
recomendo a todos q procuram um tv de ótima qualidade por um preço baixo,"tv
preço"
"Atendeu as expectativas da minha filha, porém o som deixa a desejar Lojas Americanas como sempre rápida na entrega e fiel ao produto exposto.","som
entrega"
"Qualidade da imagem muito boa, excelente produto, entrega rápida; só achei um pouco lenta ao obedecer os comandos do controle! Com certeza compraria novamente!","qualidade da imagem
produto
entrega
comandos do controle"
"Produto muito bom para quem quer modernidade e conforto, imagem e som muito bons, e sem contar que é Samsung","produto
imagem
som"
"A televisão é muito boa, apresenta uma imagem excelente o som não é perfeito mas da conta do recado. Uso a TV no meu quarto na parte de cima do roupeiro a +_ 3m de distância e é muito bom para assistir. Único ponto falho é justo o smart onde alguns aplicativos não apresentam desempenho satisfatório. Como só uso Netflix regularmente, e este funciona bem, a TV tem sido ótima para mim.","televisão
imagem
som
smart
aplicativos
tv"
"Achei a TV excelente, embora seja o modelo antigo da SmartTV da Samsung eu comprei pelo bom preço oferecido na Black Friday e por ser Smart, mas me surpreendi com a qualidade, Netflix funciona perfeito sem travar sem nada, youtube também, mais o mais legal é a possibilidade de conectar ao meu PC e puxar todo o conteudo multimidia de video, fotos e musicas via Wifi, além claro de conectar com smartphones e tablets e exibir seus conteudos multimidia, eu gostei muito não tenho o que reclamar. Só lamento não ter comprado maior.","tv
preço
netflix
youtube"
"Pouco tempo de uso, mas estou satisfeita. Atende as minhas necessidades!",""
"Equipamento excelente. Entrega antes do prazo. Super recomendo, tanto o equipamento como a empresa . Nota 1000","equipamento
entrega"
"Quase deixamos de comprar a TV devido às pessoas inúteis que falam mal do produto! Smart TV excelente: imagem e som perfeitos. Aos ignorantes que falam do som devem ter uma sala gigante ou são """"surdos"""" Pq aqui a sala é 4x4 e o som está ótimo!!! Agora se vc quer por na sala e ouvir na cozinha, vá comprar um aparelho de som. Ótima para quem tem uma boa internet, quem fala mal deve usar """"discada"""". Pés do produto por favor, vcs querem pé de que??? Para uma TV de 32 está ótimo aínda vem com parafusos para fixar melhor, a TV não foi feita de chumbo para não suportar os pés que vem. Controle remoto ótimo!!!!!!! Se tivesse tantos problemas eu tenho certeza que a SAMSUNG já teria tirado de linha para não sujar a marca!!!! PODEM COMPRAR!!! Ótimo custo beneficio!!!! Não liguem para esse povo que fica sentado dentro de casa arrumando defeitos na TV!!!!","smart tv
imagem
som
som"
"O produto é muito bom, com uma qualidade de imagem incontestável. Ele tem alguns segundos de demora nos momentos de troca de canal por exemplo, mas não compromete a qualidade das operações.","produto
qualidade de imagem
troca de canal
operações"
"Ótima Qualidade, Bom preço! Cumpre o que promete. Excelente imagem. Fácil navegação no menu de aplicativos.","preço
imagem
navegação"
"Era o que eu esperava, qualidade de imagem, com preço compatível, além da entrega super rápida.","imagem
preço
entrega"
Produto de ótima qualidade. Chegou bem antes do prazo determinado. Recomendo!,produto
"muiito fácil manuseá-la , super leve, atendeu minhas expectativa. Fiquei satisfeita.",""
"possui app netflix, youtube, vários outros de filmes. wifi funciona corretamente, sem necessidade de cabos etc. imagem e design maravilhosos, controle remoto de fácil utilização. tudo o que eu esperava da marca samsung. americanas entrega super rápida, antes do tempo. recomendo.","wifi
imagem
design
controle remoto
entrega"
"Essa TV é “quase” uma smart tv. Funciona bem na internet, mas falta compatibilidade para som externo e controle remoto virtual (no smartphone ou tabela). Deixa a desejar.","tv
internet"
É um produto de boa qualidade e bom custo x benefício.,"produto
custo x benefício"
"Praticamente o mesmo preço de outras TVs que não são smart. Sistema roda bem e até agora nao apresentou problemas. O único ponto que precisa de atenção é que a alimentação é feita através de uma fonte externa à Tv, ao inves de ser um cabo simples.","sistema
fonte externa"
"otimo o produto,recomendo e chegou bem antes do prazo previsto",produto
"Achei o aparelho um pouco frágil, porém, é bastante bom nos demais quesitos.","aparelho
demais quesitos"
Gostei muito do produto! Custo/benefício e qualidade são inquestionáveis! Agilidade na entrega. Nota 10.,"produto
custo/benefício
entrega"
"A entrega foi rápida e o produto é muito bom, eu recomendo.","entrega
produto"
"Produto designer bonito, tem funcionalidades que atendem as necessidades do cliente.","designer
funcionalidades"
Satisfação e realização ao ter adquirido esse produto. Que continue sempre assim a Submarino!!! Parabéns!,produto
"TV muito frágil, lenta, reinicializa sozinha constantemente. NÃO COMPREM! Me arrependi bastante.",""
"É um bom produto, tem uma bela definição de imagem. Um tamanho bom para usar no quarto, gosto de assistir minhas aulas no Youtube. Só não gostei do som, é muito baixo.","produto
imagem
tamanho
som"
Adorei so achei um pouco leve por isso coloquei na parede do resto maravilhosa superrrr recomendo,""
Uma maravilhosa compra. Imagem e som perfeitos. Produto entregue antes do prazo. Praticidade e ótimo atendimento . Recomendo.,"compra
imagem
som"
"Fiquei muito satisfeita com a TV , a entrega foi muito rápida.","tv
entrega"
Condizente com o anúncio. O único ponto que eu acho que devo compartilhar aqui é que o aparelho não lê alguns formatos de vídeo que até a minha Philips lê. No geral achei um bom aparelho para os recursos que apresenta.,"aparelho
aparelho"
"No começo a teve é meio lenta, mas depois, na medida em que vem sendo usada, vai ficando mais rápida. É um bom televisor, com bela imagem. Vale a pena e traz uma experiência bem legal","televisor
imagem"
"Eu recomendo, tem todas as funções que necessito. Vale a pena, muito bom!",funções
"Ótima TV, imagem muito boa. Gostei do som, apesar de que algumas pessoas reclamaram. A TV não pesa quase nada. Vale muito a pena comprar, o preço está ótimo!","tv
imagem
som
preço"
"Há tv e muito boa imagem excelente, pra mim o único ponto fraco são as entradas de áudio e vídeo e HDMI são todas atrás da TV facilitaria mais se fosse na lateral de resto boa tv.","tv
imagem
entradas"
"Produto Ótimo, entrega antes do prazo previsto, preço e condições de pagamento muito boas","produto
entrega
preço
condições de pagamento"
"É ótima essa Smart Tv, estamos gostando bastante aqui em casa. Só quando ela liga tem que esperar ela """"acordar"""" por um segundo, mas isso é normal.",smart tv
"Samsung sempre é uma das melhores marcas em todos os produtos que produzem. Logo, com as Smart TVs não seria diferente. Som, imagem, velocidade, estética... tudo muito bom. Entrega antes do prazo e em perfeito estado de conservação, a caixa e o produto. Recomendo!","som
imagem
velocidade
estética
entrega
estado de conservação"
Apenas ressalto que como todo equipamento multifuncional o mesmo trava em alguns momentos. se no futuro isso puder ser corrigido vai ficar perfeito.,""
Superou minhas expectativas. O melhor preço com as configurações oferecidas.,preço
Depois de muito comparar achei esta tv da Samsung como a melhor opção para esta faixa de preço!,tv da samsung
"Foi uma aquisição muito boa. Nossa nem imaginava tudo o que poderíamos assistir nesta TV, recomendo a todos.",""
"Gostei do tamanho, da imagem, do som, de tudo!!! Super recomendo","tamanho
imagem
som"
Não recomendo o produto por causa da qualidade do som.,som
"Boa imagem, funções simples e intuitivas , é uma SMART realmente.","imagem
funções"
"Muito bom recomendo a todos, e também recomendo lojas americanas",""
Já possuo uma e comprei outra para o quarto da minha filha,""
"TIVE MUITA DECEPÇÃO COM O PRODUTO PRA MIM UMAS DAS PRINCIPAIS FUNÇOES A SLEEP TIMER ( PROGRAMAR PARA DESLIGAR ) NÃO EXISTE , E NA FICHA TÉCNICA DIZ QUE TEM.","produto
sleep timer"
Produto aparentemente bom vamos aguardar mais um pouco para dar opinião mais concreta.,produto
Produto top fiquei muito satisfeito que já comprei a segunda unidade.,produto
"Produto excelente. Única ressalva é quanto a base de sustentação da tela , que é muito pequena , facilitando, assim, o desequilibrio e quebra do produto.","produto
base de sustentação"
Tv de otima qualidade e a entrega foi rapida! Nao tenho o que reclamar,"tv
entrega"
"smart tv otima, excelente qualidade, imagem muito boa , som otimo.. entrega do submarino, a melhor que tem todos os produtos que compro sempre chega antes da data prevista!!!!!","smart tv
imagem
som
entrega"
"Apesar de já ter uma, continuo amando esta TV desta marca.",tv
O produto chegou rápido e a TV faz o que promete mesmo com as configurações simples.,"tv
configurações"
"A tv e ótima, fora o fato de não ser fininha, o resto tudo certo.",tv
"Como sempre o produto chegou antes do prazo de entrega previsto, e em perfeita condição. Tudo certo.",""
"O som é horrível, horrível, não tem estéreo, parece que os personagens estão falando dentro de uma garrafa, pelo som, não recomendo.",som
REALMENTE ERA O QUE EU ESPERAVA. TAMANHO E FUNÇOES IDEAIS PARA UMA TELEVISAO DE QUARTO. ALIAS TODAS AS TELEVISOES DE CASA SAO SANSUNG.,"tamanho
funçoes"
Televisão não tamanho bom para o quarto excelente imagem pega YouTube Netflix que era a minha prioridade estou amando minha televisão !!,"tamanho
imagem
youtube
netflix
televisão"
"Aparelho excelente, recomendo para quem tem duvida acima da expectativa. Logística está de parabéns nota 1000.","aparelho
logística"
"O produto tem ótima imagem, som compatível e outros recursos ainda não utilizados. Embora o pouco uso, seu desempenho é satisfatório.","imagem
som
desempenho"
Produto de excelente qualidade !Com certeza recomendo pros amigos !,produto
"Smart TV top, atendimento online fácil, entrega top, ou seja , é o respeito entre vendedor e comprador que faz dessa loja ser admirável em todo o Brasil! Parabéns !!!","smart tv
atendimento online
entrega"
Muito satisfeita com a minha compra. Produto excelente. Entrega foi antes da data estabelecida. Comprarei mais sem duvida.,"produto
entrega"
Comprei 02 uma pra mim outra para meu pai e chegou rapidinho estarmos satisfeitos.,""
"TV muito boa, superou as expectativas. Parabéns a Americanas pela entrega, recebi em 3 dias.","tv
tv"
Satisfaz minha necessidade atual. Boa imagem um bom tamanho e muita facilidade de uso e instalação,"imagem
tamanho
uso
instalação"
"Bonita, elegante, basta ligar na tomada ela faz tudo sozinha; procura sinal Wi-Fi e redes disponível, dispensa programação. Recomendo o produto e a loja com atendimento de excelência.",produto
Produto de excelente qualidade e a entrega foi super rápida.,"produto
entrega"
"Gostei muito e e recomendaria, pretendo adquirir outra nota 9",""
"Ela é otima como smart, funciona bem os aplicativos, netflix e you tube nunca travam, só q o controle nao funciona direito ...","smart
aplicativos
netflix
you tube
controle"
"Gostaria de fazer uma ressalva, o produto deveria vir com o passo a passo para ser instalada sozinha, sem precisar ser cobrado o serviço de instalação da tv",""
"A tela chegou trincada, mais já vieram pega para análise!",tela
"O Cabo de força achei frágil, não é explícito se possui conversor digital de sinal de TV, mas estou gostando.",cabo de força
Produto excelente e preço promocional ótimo. Quero deixar registrado também a rapidez na entrega (três dias) dos profissionais da transfolha. Parabéns!,"produto
preço promocional
entrega"
Gostei do produto e chegou super rápido. Tem os aplicativos Netflix e Youtube. Indico!,produto
"Barata com som e imagem ótimos, pega bem Wi-Fi e perfeita para alguém que quer uma smart e não tem uma renda grande, só o suporte que é horrível, tive que comprar um para parede pois o dela não é nem um pouco seguro, não tem Spotify e o botão de mudar o canal dela manualmente deixa muito a desejar.","som
imagem
wi-fi
suporte
spotify
botão de mudar o canal"
Todos os aparelhos samsung são de uma qualidade muito boa.. super recomendo.,aparelhos samsung
"TV com Smart, facilita bastante para quem vive no mundo do Netfliw e gosta de ouvir uma música pelo Youtube. O tamanho é ótimo para ambientes pequenos, só espero que a durabilidade do produto seja bom.","tv
tamanho"
"Inicialização e configuração da TV muito rápida. Ajuste da imagem simples e direto. Reproduz o espelhamento do YouTube do celular muito bem. Pés de plástico bem finos, passa a impressão de frágil, mas servem bem a sua função. Prós: Fácil instalação, E-manual (Manual no próprio menu da TV), Imagem bacana. Contra: Fragilidade dos pés e um pouco de lentidão, com certeza, devido a ausência de S.O. específico como Android ou Web O.S. da LG.","tv
ajuste da imagem
espelhamento do youtube do celular
pés de plástico
pés de plástico
instalação
imagem
pés"
"Produto incrivel . Perde pelo suporte que e muito fragi, necessita extremo cuidado com local onde ficará. Entrga da Americanas fantástica. Recomendo .","produto
suporte"
"O aparelho é bom, o som é só configurar e regular que fica bem agradável, as vezes trava mas nada que atrapalhe. Até então estou gostando do aparelho e recomendo.","aparelho
som
aparelho"
"Produto ótimo, e entrega muito rapida ! Tenho o produto apenas á tres semanas, mais veio com todas as funçoes que estava na descrição. Muito boa estou adorando !","produto
entrega"
ELA CUMPRE TODOS OS REQUISITOS PROMETIDOS E DE FÁCIL ACESSO.,acesso
"Entrega super rápida que 10 dias antes do previsto, produto ótimo já tinha comprado outra igual super recomendo.","entrega
produto"
Produto conforme descrito e qualidade excelente! Realmente muito leve e pratica.,produto
"Estou acostumado com TVs da LG e essa SmartTv da Samsung me decepcionou um pouco pela qualidade do som (abafado) e da imagem (um tanto desbotada, mesmo após tentar vários tipos de configuração). As funções smart são boas.","som
imagem
imagem
funções smart"
"Vi muita gente reclamando... Mas em questão de custo-benefício é ÓTIMA. Ela vem com o android 4.4, possui pouca memória de armazenamento (Não sei se dá para expandir, mas aceita USB o que é legal, pois posso ouvir músicas diretamente do pen-drive) É SMART, tem vários aplicativos legais para assistir filmes, jogos básicos como minecraft e angry birds (é só ter acesso a internet). Vem com o aplicativo da netflix, mas eu não sou assinante, o youtube é muito bom. O tempo de resposta as vezes demora em uma média de 8 segundos para abrir por exemplo um aplicativo. A imagem é boa, mas o que mais me surpreendeu foi o áudio, ele é super alto e com qualidade! EU RECOMENDO POR 1000 vale muito a pena. <3 VALEU AMERICANAS E PHILCO.","custo-benefício
memória de armazenamento
usb
smart
aplicativos
aplicativo da netflix
youtube
tempo de resposta
imagem
áudio"
Comprei para minha mãe ela amou....esta muito satisfeita a entrega foi muito rápida.,entrega
O produto é muito bom. O tamanho é ideal para ambiente pequenos.,"produto
tamanho"
"Recebi o produto bem antes do prazo, a entrega foi muito rapida pelas Americanas, o produto bem embalado em perfeito estado, gostei muito do produto tem uma imagem excelente , cores vivas, a função smart tambem funciona muito bem com um pouco de lentidão porem nada que impeça de utilizar , o unico ponto que achei um pouco inconveniente é o volume que é bastante baixo, mas fora isso estou muito satisfeita com o prooduto, se voce tiver um soundbar ou home theater não tera problemas com o som.","entrega
produto
imagem
cores
função smart
função smart
volume
prooduto"
"Excelente TV, imagem perfeita! O Submarino e a Transportadora Direct estão de parabéns, entrega super rápida, dado que o produto estava previsto para ser entregue em 24/08/2018, contudo chegou no dia 03/08/2018. RECOMENDADÍSSIMO!!!","tv
imagem
entrega"
"Já sabia que não era Full HD, mas não imaginava que a imagem seria tão fraca. Fiquei decepcionado e arrependido. Não recomendo. Por pouco mais se compra uma de 40' Full HD.",imagem
"Ótimo qualidade, já vem com os app Netflix e Youtube instalados. Produtos vendidos entregues pelo Submarino sempre chegam antes do prazo.",app netflix e youtube
"A imagem é ótima, mas o volume deixa muito a desejar, achei que eram alguns canais, mas quando uso a outra smart de outra marca percebo a diferença. Minha Tv no volume 50 e a outra no 30. no mais ela é muito boa.","imagem
volume"
"O produto é bem bacana! A imagem é muito boa mas o áudio me incomoda! A pessoa acaba se acostumando, mas o sistema de som não é dos melhores. Para quem gosta de um áudio bem definido não aconselho a compra.","produto
imagem
áudio
sistema de som"
"Ótima televisão, qualidade boa, super leve, o Smart funciona muito bem. Em minha opinião, seu maior defeito é a falta de entradas e saídas auxiliares. Visto que o som da mesma não é muito alto, a falta de saídas de som auxiliares para ligar em outro aparelho faz muita diferença. Sua unica opção é uma saída de áudio digital.","televisão
televisão
smart
entradas e saídas auxiliares
som"
"Após ler alguns comentários, fiz uma avaliação técnica e tomei a decisão de comprar. Excelente produto dentro da sua descrição",produto
Gostei muito. Foi muito fácil a realização da compra e consequente o processo de entrega foi muito rápido.,entrega
"A tv é muito boa. Com design moderno, fonte de energia externa deixando a tv menos quente e muito fina. Imagem com qualidade, som muito bom. Navegação na internet via wi-fi da própria tv sem problemas. Netflix, Youtube e navegador integrado.","tv
design
fonte de energia
imagem
som"
Conexão com internet ótima. Som e imagem perfeitos. Fácil de usar,"conexão com internet
som
imagem"
"Nada a me queixar. O produto é uma excelente smart tv, ficou ideal para o tamanho de minha sala. Quanto à entrega, espetacular, o produto foi entregue no endereço indicado. Recomendo a todos.","smart tv
tamanho
entrega"
O aparelho é de boa qualidade e até o momento atendeu às minhas expectativas e necessidades.,aparelho
"cumpre tudo o que esta indicado, imagem de boa qualidade acesso fácil para uso como televisão e como smart. Entrega dentro do prazo e sem qualquer problema de perdas ou arranhões.","imagem
acesso
entrega"
"Atendeu tudo o que foi falado do produto. a qualidade da imagem é ótima, dá pra assistir netlix tranquilo. e a entrega foi sensacional, fiz a compra no sabado a noite e a tv chegou na terça de noite. gostei muito!","produto
imagem
entrega"
"Produto chegou dentro da data de entrega, funciona bem, as vezes o áudio fica oscilando, mas o produto no geral tem bom desempenho.","entrega
áudio
desempenho"
"Maravilhosa.Chegou dentro do prazo estipulado, muito bem embalada, Respondeu às minhas expectativas. Eu recomendo.",""
"Antes de comprar, eu fiz uma busca para saber a opinião de outros (cheguei até ver vídeo do YT). O aparelho cumpre tudo que promete: realmente gasta pouca energia (o que é interessante para a conta de luz); já vem com alguns aplicativos instalados (netflix e you tube) e a imagem é ótima.","aparelho
aplicativos
imagem"
Produto de qualidade. Variedade de funções e simplicidade no manuseio. Recomendo.,"produto
funções
manuseio"
"Tv muito boa, superou nossa expectativa, já estamos planejando comprar outra para o quarto.. o prazo de entrega era ate dia 27 de Agosto, e dia 19 de Julho chegou! Super recomendo!!","tv
tv"
"Acredito que a plataforma da Sansung para Smart Tv é a melhor, tanto em layout do conteudo, quanto a rapidez do sistema todo em geral, tenho outras smarttvs, porém, não tenho paciencia para utiliza las como tal.","plataforma da sansung
layout do conteudo
rapidez do sistema"
"é o excelente aparelho, é muito fácil de instalar é tudo de bom!!!!!!",aparelho
"a cor da imagem é muito ruim e não consigo regular pra que fique boa, tem uma cor turva não mostra uma imagem nítida,é uma imagem muito vermelha","cor da imagem
imagem"
"Correspondeu à minha expectativa. Ainda estou explorando todos os recursos Smart. Mas possuo TV a cabo também, o que aumenta razoavelmente as opções de programação da TV.",""
"Aí galera, quem precisa comprar Smat TV via internet, pode comprar Sansung sem medo de errar, produto de excelente qualidade e de marca mundialmente conhecida.Comprei, gostei, e assim que puder estarei comprando outra.",produto
"DEMAIS ESSE PRODUTO, QUALIDADE DA IMAGEM É PERFEITA.. GOSTEI MUITO!!","produto
imagem"
"Ótima qualidade de imagem, acessos fáceis, conecta rapidamente, instalação muito rápida e fácil. Só tenho elogios ao produto e a Shoptime pela rapidez e qualidade de entrega.","imagem
acessos
instalação
entrega"
Entrega rápida antes do prazo. Produto de ótima qualidade. Cumpre o que promete,"entrega
produto"
Produto ótimo entrega rápida atendimento excelente parabéns Sou cliente antigo nunca tive um bônus,"produto
entrega
atendimento"
"Um pouco trabalhoso para ajustar os controles vindos de fábrica, mas depois de ajustados imagem, som etc ficam muito bons.","controles
imagem
som"
"Só não gostei do som e da memória. Tem pouca potência e a memória é pouca, fica fechando as páginas por falta de memória.","som
memória
potência
memória"
"otimo o produto, atende a todas as expectativas, a um preço acessivel","produto
preço"
"Ótimo produto, com ótima imagem. O preço estava muito bom. E a entrega foi incrivelmente rápida.","produto
imagem
preço
entrega"
Chegou antes do previsto e a qualidade da tv e otima. Super recomendo.,tv
"essa tv é muito boa, recomendo a compra, boa para o quarto, para sala ja é melhor uma maior",tv
Tenho vários equipamentos Samsung e aprecio muito a qualidade dos produtos da marca. Recomendo sem sombra de dúvida.,produtos
indico a qualquer pessoa a adequiri este produto porque é de excelente qualidade,"produto
produto"
"Smart TV linda, funciona muito bem, a entrega foi super rápida chegou bem antes do que foi proposto pela empresa.",entrega
"Cumpre o que promete, boa qualidade de imagem e som, fácil de configurar, boa conectividade.","imagem
som"
"Comprei uma TV dessas para minha mãe e ela tombou e quebrou com 1 mês de uso, os pés de apoio da TV são os piores que já vi a TV não ficam firmes, a Samsung fez uma tremenda besteira em colocar esses pés de apoio que não tem segurança alguma, se consultarem no OLX tem um monte delas vendendo com a tela trincada, pelo menos aqui no Rio de Janeiro!","pés de apoio
pés de apoio"
"A aparência e a imagem da TV são excelentes, porém o som do aparelho deixou muito a desejar.","aparência
imagem
som"
"A tv demora algumas vezes para entrar na netflix e/ou you tube. O menu para ativar soneca por exemplo não é muito pratico . Tem que ficar indo dentro de algumas tela de configurações. Ao aperta o controle de volume por exemplo, demora um pouco para aparecer . Resumindo é um pouco lenta. Porém pelo preço, imagem, e por ser smart tv ela compensou.",menu para ativar soneca
"Não tenho nada a reclamar, a TV Led 32 da Samsung está satisfazendo todas as minhas expectativas!",""
"a entrega foi super rápido... muito antes do prazo, a TV é ótima!!","entrega
tv"
gostei muito da entrega rápida o produto tbm é bom,"entrega rápida
produto"
"Um ótimo produto, ideal para ambientes médios sua função smart funciona perfeitamente porem NÃO tem o aplicativo SOTIFY. Mas recomendo, a entrega foi perfeita chegou antes do prazo informado.","produto
função smart
aplicativo sotify
entrega"
"COMPREI E NÃO MIM ARREPENDO A SMART SAMSUNG É UMA TV MUITO BOA BASTA UMA ANTENA SIMPLES E JA CONSEGUE ASSISTIR COM A IMAGEM PERFEITA, INTERNET SHOW É UMA MÁQUINA. EU INDICO A TODOS. E A SUBMARINO É PERFEITO CHEGA ANTES DO PRAZO E O ATENDIMENTO É 10.","tv
imagem
internet"
Sansung marca que confio e recomendo. Estou muito feliz com esta tv. Parabens americanas e a sansung também.,"marca
marca
tv"
"Ótima qualidade, leve, fácil para mecher funciona muito bem a netflix, YouTube, acesso a Internet... ponto negativo as vezes desliga sozinha... Ou da umas travadinha",acesso a internet
"A Tv em si é boa, com imagem de qualidade, só o som é mais fraco e os pézinhos sendo laterais ficaram ruim num hack pequeno, se o pé fosse central seria melhor.","tv
imagem
som
pézinhos"
O televisor demora para estar preparado para o uso de aplicativos e é bastante lento durante sua execução. Não recomendo.,televisor
"No geral vale muito a pena, porém veio com um dos pés da TV com folga, fazendo com que se soute ao levantá-la. Outro problema é que as estradas HDMI ficam na parte de trás da TV, e não na lateral (Isso atrapalha, pois se for fixar a TV na parede, adeus HDMI. Não sobra espaço para encaixe do fio).No mais, função futebol sensacional e entrega muito rápida.","estradas hdmi
função futebol
entrega"
Produto bom! Imagem boa. Único defeito é a demora para iniciar a opção smart...,"produto
imagem
opção smart"
"Gostei muito do produto e chegou mais rápido do que esperava. Não tenho o que reclamar , recomendaria smart TV Samsung e as lojas americanas. Glória Ramade","produto
smart tv samsung"
"Imagem muito boa, som razoável, e entrada dos cabos dificultam a instalação em painel ou parede, entradas deveriam ficar pela lateral como em outros tamanhos!","imagem
som
instalação
entradas"
muito satisfeito atendeu minhas necessidades e da família em geral muito obrigado,""
"Estou muito satisfeito com a TV! Fiquei impressionado ao assistir vídeos do Youtube que rodaram sem travar, ótima imagem e som. Excelente relação custo/benefício.","tv
imagem
som
custo/benefício"
Então o problema é nas mensagem que não conseguimos ler,mensagem
Excelente qualidade. Até o momento não tenho o que reclamar. Gostei tanto que pretendo comprar outra. Um pouco maior. Más se possível da mesma marca. Fiquei muito satisfeito. Parabéns pelo fabricante. Muito bom mesmo. Obrigado.MARCELO,""
"Se você pensa que comprando uma Smart tv terá acesso ao yutube, filmes etc... Não se engane, você precisa de internet de pelo menos 2 megas, tem gente que acha que Smart tv é só ligar e terá todos os conteúdos, mesmo sem internet. A entrega foi dentro do prazo. Com ela você consegue navegar na internet pelo browser, e abrir sites. Não posso opinar muito pela qualidade do produtos porque dei as duas tvs de presente as minhas sobrinhas.","internet
entrega"
"Produto excelente, ótimo para a Netflix, com carregamento super rápido, com internet de 1 mega, é uma boa opção pra quem procura uma Smart TV, recomendo. A entrega ocorreu dentro do prazo, era prevista para doze dias e foi entregue em 7.","produto
netflix
carregamento
recomendo
entrega"
"Veio no prazo, muito boa a tv, recomendo, boa qualidade.",tv
"Entrega perfeita, dentro dos conformes, e bem antes do prazo",entrega
Fácil manuseio e montagem Aplicativos intuitivos TV leve Muito bonita Entrega muito rápida comprei na segunda na quarta ela chegou submarino está de parabéns,"manuseio
montagem
aplicativos
entrega"
"Comprei a Tv para a minha mãe. Ela recebeu, mas como estava doente acabou não abrindo. Uns 15 dias depois, quando resolvi abrir para ela, descobrimos que a tela estava danificada. Nem chegamos a ligar o equipamento com medo de explodir. A caixa não apresentava nenhum indícios de avaria. Nunca poderíamos imaginar que algo desse tipo aconteceria.",tela
Primeiro gostaria de parabenizar a logística do Submarino junto a transportadora que realizou a entrega no prazo mesmo com as dificuldades devido a greve dos caminhoneiros. Já instalei a TV e está funcionando perfeitamente até o momento como os recursos dentro de esperado para compra. Samsung é uma marca em que confio e recomendo bastante a compra para quem quer uma TV de entrada.,"entrega
tv
recursos"
"Adorei, menu de fácil acesso, super fácil de instalar. Realmente cumpre as especificações técnicas! Recomendo!!",menu
Bom custo beneficio. O único defeito é que trava bastante.,custo beneficio
"Entrega perfeita, antes do esperado. Tv boa, smart funciona bem. O som é um pouco baixo, mas pelo preço vale comprar. Adorei.","entrega
tv
smart
som
preço"
"TV bonita, fácil de usar e instalar. Muito leve. O único problema é a entrada HDMI que fica virada para trás e não lateralmente. Com isso, para quem vai colocar a TV na parede praticamente impossibilita a não ser que compre um suporte que a deixe longe. Uma pena.",""
"Recebi minha TV hoje e me decepcionei. Sem dúvida a philips lcd antiga que tenho em casa da um banho. Mesmo habilitando todas funções para garantir um melhor desempenho e qualidade pude verificar que: - A tv não possui uma boa qualidade de imagem: Falta nitidez, brilho e contraste e qualidade no formato HD. - O áudio é bem fraco. Não possui nenhum grave, nem mesmo ajustando o equalizador.","imagem
nitidez
brilho
contraste
áudio
grave"
"Esperava bem mais da Samsung em uma TV moderna. a imagem é muito pixelizada; o áudio é fraquíssimo (abaixo do esperado mesmo para um TV de baixo custo); o acabamento é ruim (o botão de ligar/desligar parece que vai quebrar). Possuo uma TV LG há mais de 5 anos que possui imagem infinitamente superior a esta Samsung, além do áudio e qualidade. Muita decepção do o produto. Sinceramente, não entendo as altas notas deste produto aqui. Não refletem a realidade. Imaginava que as TVs da Samsung estivesse bem melhor. Mas infelizmente não estão. Vou comprar outra TV, pro meu quarto e tenho uma certeza: NÃO SERÁ SUMSUNG - e muito menos essa! Porcaria!","tv
imagem
áudio
acabamento
botão de ligar/desligar
produto
produto"
O controle remoto podia ser mais anatômico. Com teclas diferenciadas perceptíveis ao toque.,"controle remoto
controle remoto"
"O áudio da TV não é bom, deixa muito a desejar, já mexi em todas as configurações de áudio, porém não melhora, o som fica muito estridente. Por muitas vezes o smart trava também, e o controle remoto não responde, com isso tenho que desligar na tomada. Me decepcionei, uma vez que tenho uma smartv Samsung 40 polegadas Samsung que não deixa nada a desejar, pelo contrário, ótima TV, confiando nisso optei pela Samsung 32, e me frustrei.","áudio
som
smart
controle remoto"
"gostei muito da tv, superou minhas expectativas. parabéns a americanas.com pela agilidade na entrega, gastando apenas tres dias. estou muito satisfeito.","tv
entrega"
A minha chegou 3 dias depois da compra. Adorei a qualidade... Atendeu as espectativas. Mas para quem tem crianças o melhor é que a mesma seja presa ao painel. Pois os pezinhos não dão estabilidade.,pezinhos
